N,TYPE,Time(ms),GFLOPS
16,FP32,0.0040,2.05
16,FP16,0.0044,1.87
16,INT8,0.0047,1.75
64,FP32,0.0065,81.27
64,FP16,0.0038,138.38
64,INT8,0.0042,124.88
64,MM83,0.0076,68.55
256,FP32,0.0172,1950.48
256,FP16,0.0075,4488.77
256,INT8,0.0094,3565.37
256,MM83,0.0204,1647.67
512,FP32,0.0752,3567.80
512,FP16,0.0408,6586.53
512,INT8,0.0312,8592.24
512,MM83,0.1202,2232.91
1024,FP32,0.4674,4594.99
1024,FP16,0.1919,11191.34
1024,INT8,0.1808,11875.78
1024,MM83,0.7325,2931.85
2048,FP32,3.6244,4740.00
2048,FP16,1.2766,13457.30
2048,INT8,1.2755,13469.18
2048,MM83,5.1876,3311.73
4096,FP32,25.0162,5493.99
4096,FP16,7.2511,18954.09
4096,INT8,8.7178,15765.36
4096,MM83,39.6551,3465.86
8192,FP32,194.0795,5665.26
8192,FP16,57.5972,19089.66
8192,INT8,70.0248,15701.75
8192,MM83,323.0637,3403.39
16384,FP32,1581.6637,5561.29
16384,FP16,469.1791,18747.84
16384,INT8,564.1814,15590.90
16384,MM83,2633.2876,3340.35